Unnamed: 0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,stiffness_value
5452,-21.11031039,-0.783772674,0.843292233,-0.620605171,0.226196105,0.59931818,0.314981497,0.191507345,-0.108188452,-0.201806296,-0.306050515,-0.047373006,-0.171782315,-0.001417323,0.072374992,94.07080395
7450,-20.91084162,0.42521701,1.104408599,-0.095189037,-0.263170245,0.241746979,-0.03996709,0.076349522,0.105129234,-0.062287937,-0.122631993,-0.29832052,-0.468198844,0.242772885,-0.214003655,93.756965
7350,-21.69302887,-0.722335484,1.253137517,1.463926115,0.302703823,-0.932092051,-0.240248682,0.494384701,0.031348125,0.428159682,0.033532471,0.582707711,-0.056196212,-0.031468606,0.08641933,93.59436505
5451,-21.68843961,-0.777730941,0.788880759,-0.551496811,0.239435042,0.431620419,0.112575871,-0.038853409,-0.084467866,-0.057667989,-0.31316246,-0.149406931,-0.239577202,-0.024874963,0.071886037,93.55971479
7204,-20.0732358,-1.309618595,0.867654206,0.013430764,0.214549429,0.006264362,0.039045047,-0.153395792,0.011229751,-0.115153898,-0.477006582,-0.061642164,-0.543030171,-0.062486139,0.126890169,93.46088683
8400,-21.39152914,-0.374450312,1.050713021,-1.884409781,0.255538173,0.443979974,-0.092611657,0.457082692,-0.445796934,0.228520537,-0.35412246,0.056351452,0.476159149,0.070702327,-0.196595434,93.19957328
8600,-17.10548306,1.074821857,0.876814681,-1.388828346,-0.717219003,-0.55817569,-0.043385111,-0.047489482,0.100524268,-0.47650272,-0.255021174,0.214693648,0.229667658,-0.275448944,0.08333769,93.15133739
5150,-21.42760186,-0.674821976,0.882643649,0.851576874,0.173896593,-0.544010656,-0.05826769,0.023359113,-0.046699,-0.012212555,-0.065975061,0.095653639,-0.073854956,-0.059616391,-0.067429951,92.91836678
4857,-20.4279413,-1.308598139,0.73766493,-0.064403916,0.231812945,-0.024573606,-0.019610654,-0.257015522,-0.060601486,-0.18468316,-0.393180268,-0.028422495,-0.424365242,-0.10496425,0.140570936,92.90310353
5002,-21.47233632,-0.985576002,0.849974974,0.375921098,0.170090749,-0.535887276,-0.055313211,-0.058651118,0.047250568,-0.09245597,-0.157170801,0.041431788,-0.350472044,0.047905758,-0.050393262,92.83889047
5401,-21.42866181,-0.802238371,0.766084257,-0.892147387,0.256042144,0.324140103,0.031481205,-0.120692976,0.010379838,0.040471732,-0.38174856,-0.110996901,-0.098001676,-0.068753228,0.139856609,92.7153783
7651,-20.46734159,0.908536249,1.363784686,1.154105919,-0.455848157,0.318870134,-0.008258934,-0.460281132,0.545934859,0.627576968,0.030063233,-0.082862341,-0.104050787,0.104237634,-0.136674866,92.53272214
7502,-19.87054222,0.56077103,1.31322726,0.345093619,-0.458474604,0.506848162,0.108601916,0.510378172,-0.212111959,-0.540762921,-0.070155411,-0.215324944,-0.579081685,0.127467981,-0.156211297,92.44975523
8401,-20.43956827,-0.3981358,0.953489883,-1.725203076,0.297754972,0.370863241,-0.058567923,0.119786928,0.063722987,0.475569783,-0.414928078,0.049450318,0.498116832,0.094724651,-0.153019844,92.2973135
7252,-20.62807867,-0.766575379,1.130878891,0.69225161,0.089346063,-0.560696673,0.030129281,-0.00290722,-0.013193459,0.177654348,-0.209829267,0.050661276,-0.474750915,-0.030185848,-0.169409379,92.23385222
2402,-21.21599261,-1.392673101,0.548933064,-0.070273524,0.220778059,-0.013475111,0.075424615,-0.375457331,-0.046299059,-0.3329604,-0.283183691,0.030170625,-0.268381732,-0.097614507,0.126940459,92.10643452
2454,-21.28229883,-1.422819696,0.537348083,-0.079308534,0.221948287,0.041597935,0.026319718,-0.412415847,0.081517025,-0.333357486,-0.244996991,0.043944236,-0.209095389,-0.118352643,0.180033079,92.07502508
4804,-20.07880776,-1.298098405,0.735897353,-0.124846808,0.206542074,-0.086803983,-0.059445801,-0.351101092,0.034334043,-0.126697718,-0.41163209,-0.018871972,-0.335884505,-0.1259583,0.170702935,91.94151624
5454,-20.88420172,-0.843492498,0.835992374,-0.679424078,0.27794777,0.524606511,0.13918578,0.103358276,-0.055741013,-0.089608528,-0.347166924,-0.136557614,-0.21962754,-0.020209239,0.104456457,91.86364403
7501,-20.13194831,0.515297753,1.106220874,0.474328736,-0.328487443,0.294340442,0.021410008,-0.028479754,0.060322626,-0.094182663,-0.081494459,-0.173956246,-0.432841135,0.080429191,-0.085454641,91.73868479
5453,-21.05789153,-0.700157364,0.847971439,-0.606843488,0.207769073,0.50654201,-0.119616115,0.025793216,0.167969532,-0.072794481,-0.170839846,-0.109435376,-0.177350484,0.043921321,0.046174986,91.67467348
7902,-20.59823415,-0.412434474,1.051781342,-1.445690662,0.225208826,0.504784559,-0.14661497,0.155683562,0.036961716,0.360768219,-0.450103509,-0.042869542,0.291772635,0.047985489,-0.089887931,91.66400932
4858,-20.08635996,-1.365320266,0.699556486,-0.132034978,0.225825741,-0.052892932,0.009868142,-0.373035182,0.071134536,-0.161317891,-0.404660436,0.01512569,-0.375938383,-0.099867975,0.204173344,91.64470803
7750,-18.78737464,0.940733067,0.990088338,1.159756795,-0.328186181,0.444024926,-0.145726317,-0.034477165,0.027128005,-0.128239744,-0.047349549,0.276192169,0.041115345,-0.019996817,0.040028736,91.6136464
